airport_ref,airport_ident,length_ft,width_ft,lighted,closed
6667,02MU,1900.0,125.0,0,0
45686,02NC,100.0,100.0,0,0
6669,02NH,3000.0,300.0,0,0
6669,02NH,20.0,20.0,0,0
6671,02NV,2200.0,50.0,0,0
6672,02NY,25.0,25.0,0,0
6673,02OH,2750.0,50.0,0,0
6674,02OI,1500.0,75.0,0,0
6676,02OR,2000.0,30.0,0,0
6677,02P,100.0,100.0,1,0
6678,02PA,60.0,50.0,0,0
6679,02PN,40.0,40.0,0,0
6680,02PR,2000.0,50.0,0,0
6681,02PS,500.0,100.0,0,0
6682,02SC,3600.0,150.0,0,0
6683,02T,4050.0,60.0,0,0
6684,02TA,32.0,32.0,0,0
6685,02TE,40.0,40.0,1,0
6686,02TN,1600.0,120.0,0,0
6688,02TX,4800.0,80.0,0,0
6689,02UT,4000.0,30.0,0,0
6689,02UT,4000.0,50.0,0,0
6690,02VA,3000.0,80.0,0,0
6692,02WA,2650.0,50.0,0,0
6693,02WI,2200.0,60.0,0,0
6694,02WN,1500.0,30.0,0,0
330393,02XA,1950.0,50.0,0,0
6695,02XS,1500.0,40.0,0,0
6695,02XS,1320.0,40.0,0,0
6696,03AK,1000.0,70.0,0,0
6696,03AK,6000.0,500.0,0,0
6696,03AK,2600.0,500.0,0,0
6697,03AL,50.0,50.0,1,0
6698,03AR,117.0,117.0,1,0
6699,03AZ,3600.0,60.0,1,0
6700,03CA,40.0,40.0,1,0
6701,03CO,4000.0,30.0,0,0
6702,03FA,2000.0,200.0,0,0
6703,03FD,2000.0,50.0,0,0
6704,03FL,50.0,40.0,0,0
322717,03GA,1990.0,65.0,0,0
322717,03GA,1955.0,60.0,0,0
6705,03I,2375.0,90.0,0,0
6706,03IA,2000.0,150.0,0,0
6707,03ID,1800.0,100.0,0,0
6708,03II,1000.0,200.0,0,0
6709,03IL,2600.0,105.0,0,0
6711,03IS,40.0,40.0,0,0
6712,03KS,25.0,25.0,0,0
6713,03KY,2300.0,80.0,0,0
6714,03LA,60.0,60.0,0,0
6715,03LS,40.0,40.0,1,0
6716,03M,3800.0,200.0,0,0
6717,03MA,1600.0,60.0,0,0
6718,03MD,50.0,50.0,1,0
6719,03ME,2400.0,90.0,0,0
6720,03MI,20.0,20.0,0,0
6721,03MN,1940.0,75.0,0,0
6722,03MO,2200.0,50.0,0,0
6723,03MS,60.0,60.0,0,0
6725,03MU,2400.0,24.0,1,0
4650,03N,2400.0,50.0,0,0
6726,03NC,2750.0,40.0,0,0
6727,03ND,2600.0,50.0,0,0
6728,03NE,2200.0,200.0,0,0
6729,03NH,12.0,80.0,0,0
6731,03NV,3200.0,30.0,0,0
6732,03NY,2000.0,75.0,0,0
6733,03OH,2100.0,60.0,0,0
6733,03OH,2200.0,60.0,0,0
6734,03OI,60.0,60.0,0,0
6735,03OK,1200.0,50.0,0,0
348548,03OL,1900.0,30.0,0,0
6736,03OR,2950.0,60.0,0,0
6737,03PA,130.0,80.0,0,0
6738,03PN,100.0,100.0,0,0
322892,03PR,2926.0,65.0,0,0
6739,03PS,675.0,90.0,0,0
6739,03PS,925.0,90.0,0,0
6739,03PS,1130.0,90.0,0,0
6740,03S,2115.0,100.0,0,0
6741,03SC,40.0,40.0,1,0
6743,03TE,3500.0,100.0,0,0
6744,03TN,20.0,20.0,0,0
6745,03TS,90.0,90.0,0,0
341551,03TT,3000.0,50.0,0,0
6746,03TX,150.0,150.0,0,0
6747,03UT,5000.0,35.0,0,0
6747,03UT,3250.0,35.0,0,0
6749,03WA,2800.0,60.0,0,0
6750,03WI,1500.0,60.0,0,0
6751,03WN,2000.0,70.0,0,0
345757,03XA,54.0,54.0,0,0
6752,03XS,3200.0,50.0,0,0
6752,03XS,1600.0,50.0,0,0
325443,04AA,1300.0,100.0,0,0
325443,04AA,825.0,68.0,0,0
6753,04AL,100.0,100.0,0,0
6754,04AR,40.0,40.0,1,0
6756,04CA,5000.0,150.0,0,0
6757,04CL,1900.0,100.0,0,0
6758,04CT,50.0,100.0,0,0
6759,04F,2400.0,20.0,0,1
6760,04FA,2620.0,212.0,0,0
