ident,type,name,latitude_deg,longitude_deg,continent,iso_region,municipality,iata_code,airport_ref,airport_ident,lighted,closed,elevacion,longitud_pista,ancho_pista
WAPN,small_airport,Emalamo Sanana Airport,-2.0805099010467534,125.96700286865234,AS,ID-MU,Sanana-Seram Island,SQN,0.0,0,0.0,0.0,127.95,0.0,0.0
WAPP,medium_airport,"Pattimura Airport, Ambon",-3.7102599144,128.089004517,AS,ID-MA,Ambon,AMQ,0.0,0,0.0,0.0,108.27,0.0,0.0
WAPR,small_airport,Namlea Airport,-3.235569953918457,127.0999984741211,AS,ID-MA,Namlea-Buru Island,NAM,0.0,0,0.0,0.0,134.51,0.0,0.0
WAPT,small_airport,Taliabu Island Airport,-1.6426299810409546,124.55899810791016,AS,ID-MU,Tikong-Taliabu Island,TAX,0.0,0,0.0,0.0,29.53,0.0,0.0
WAPV,small_airport,"Wahai,Seram Island",-2.8114,129.484,AS,ID-MA,Seram Island,WBA,0.0,0,0.0,0.0,1830.71,0.0,0.0
WARA,small_airport,Abdul Rachman Saleh Airport,-7.92656,112.714996,AS,ID-JI,Malang,MLG,0.0,0,0.0,0.0,5662.73,0.0,0.0
WARC,small_airport,Ngloram Airport,-7.1948416666699995,111.548166667,AS,ID-JT,Tjepu-Java Island,CPF,0.0,0,0.0,0.0,429.79,0.0,0.0
WARJ,medium_airport,Adisutjipto International Airport,-7.7881800000000005,110.431999,AS,ID-YO,Yogyakarta-Java Island,JOG,0.0,0,0.0,0.0,1243.44,0.0,0.0
WARQ,small_airport,Adisumarmo International Airport,-7.513564,110.75049399999999,AS,ID-JT,Sukarata(Solo)-Java Island,SOC,0.0,0,0.0,0.0,1381.23,0.0,0.0
WARR,large_airport,Juanda International Airport,-7.379829883575439,112.78700256347656,AS,ID-JI,Surabaya,SUB,0.0,0,0.0,0.0,29.53,0.0,0.0
WARS,small_airport,Achmad Yani Airport,-6.97273,110.375,AS,ID-JT,Semarang-Java Island,SRG,0.0,0,0.0,0.0,32.81,0.0,0.0
WART,small_airport,Trunojoyo Airport,-7.0242,113.89023,AS,ID-JI,Sumenep-Madura Island,SUP,0.0,0,0.0,0.0,32.81,0.0,0.0
WASB,small_airport,Stenkol Airport,-2.1033,133.5164,AS,ID-PB,Bintuni,NTI,0.0,0,0.0,0.0,187.01,0.0,0.0
WASC,small_airport,Abresso Airport,-1.4967709999999999,134.175,AS,ID-PB,Ransiki-Papua Island,RSK,0.0,0,0.0,0.0,170.6,0.0,0.0
