ident,type,name,latitude_deg,longitude_deg,continent,iso_region,municipality,iata_code,airport_ref,airport_ident,lighted,closed,elevacion,longitud_pista,ancho_pista
03N,small_airport,Utirik Airport,11.222000000000001,169.852005,OC,MH-UTI,Utirik Island,UTK,6733.0,03OH,0.0,0.0,13.12,6889.76,196.85
AAD,small_airport,Adado Airport,6.095802,46.6375,AF,SO-GA,Adado,AAD,16137.0,AK45,0.0,0.0,3284.12,10236.22,492.13
ABP,small_airport,Atkamba Airport,-6.06462,141.095173,OC,PG-WPD,Atkamba Mission,ABP,16141.0,AK49,0.0,0.0,492.13,7217.85,147.64
ABW,closed,Abau Airport,-10.1956,148.7389,OC,PG-CPM,Abau,ABW,16142.0,AK5,0.0,0.0,32.81,11482.94,1640.42
ACFC,small_airport,Woodland Airpark (duplicate),15.253888,120.677222,AS,PH-PAM,Magalang,WAP,16143.0,AK50,0.0,0.0,328.08,6561.68,85.3
AD-ALV,heliport,Andorra la Vella (Our Lady of Meritxell Hospital) Heliport,42.511228,1.533651,EU,AD-08,Escaldes-Engordany,ALV,16146.0,AK53,0.0,0.0,11318.9,5905.51,246.06
ADC,small_airport,Andakombe Airport,-7.13722222222,145.744722222,OC,PG-EHG,Andekombe,ADC,16147.0,AK54,0.0,0.0,11811.02,2952.76,262.47
ADV,small_airport,El Daein Airport,11.4023,26.1186,AF,SD-DE,El Daein,ADV,16149.0,AK56,0.0,0.0,5118.11,6561.68,6561.68
AE-0006,seaplane_base,Jebel Ali Seaplane Base,24.988967000000002,55.023796,AS,AE-DU,Jebel Ali,DJH,16155.0,AK62,0.0,0.0,0.0,32808.4,3280.84
AEI,heliport,Algeciras Heliport,36.128820000000005,-5.441079,EU,ES-CA,Algeciras,AEI,16243.0,AL51,0.0,0.0,321.52,6561.68,328.08
AEK,small_airport,Aseki Airport,-7.350804855519999,146.19386673,OC,PG-MPL,Aseki,AEK,16244.0,AL52,0.0,0.0,13471.13,196.85,196.85
AEQ,small_airport,Ar Horqin Airport,43.87042,120.15958,AS,CN-15,Chifeng,AEQ,16245.0,AL53,0.0,0.0,4379.92,131.23,131.23
AF-0005,medium_airport,Khost International Airport,33.284605,69.80734,AS,AF-KHO,Khost,KHT,16249.0,AL59,0.0,0.0,13792.65,196.85,196.85
AF10,small_airport,Orūzgān Airport,32.9029998779,66.630897522,AS,AF-ORU,Orūzgān,URZ,16267.0,AL78,0.0,0.0,22063.65,7217.85,459.32
AF11,small_airport,Salerno Airport,33.3638,69.9561,AS,AF-KHO,Khost,OLR,16268.0,AL79,0.0,0.0,12401.58,8202.1,656.17
AFK,seaplane_base,Kondavattavana Tank Seaplane Base,7.284,81.64399999999999,AS,LK-5,Ampara,AFK,16275.0,AL86,0.0,0.0,311.68,98.43,98.43
AGAF,small_airport,Afutara Aerodrome,-9.19138888889,160.948611111,OC,SB-ML,Bila,AFT,16278.0,AL89,0.0,0.0,75.46,7381.89,328.08
AGAR,small_airport,Ulawa Airport,-9.86054358262,161.979546547,OC,SB-MK,Arona,RNA,16279.0,AL90,0.0,0.0,131.23,164.04,164.04
AGG,small_airport,Angoram Airport,-4.05583333333,144.073888889,OC,PG-ESW,Angoram,AGG,16283.0,AL94,0.0,0.0,246.06,8530.18,229.66
AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,OC,SB-ML,Auki,AKS,16284.0,AL95,0.0,0.0,16.4,164.04,164.04
AGGB,small_airport,Bellona/Anua Airport,-11.302222222200001,159.798333333,OC,SB-RB,Anua,BNY,16284.0,AL95,0.0,0.0,196.85,164.04,164.04
AGGE,small_airport,Ballalae Airport,-6.9907449999999995,155.88665600000002,OC,SB-WE,Ballalae,BAS,16286.0,AL97,0.0,0.0,16.4,6561.68,328.08
AGGH,large_airport,Honiara International Airport,-9.427999999999999,160.054993,OC,SB-GU,Honiara,HIR,44847.0,AM-0002,0.0,0.0,91.86,10669.12,360.89
AGGK,small_airport,Ngorangora Airport,-10.4497003555,161.897994995,OC,SB-MK,Kirakira,IRA,301676.0,AMF,0.0,0.0,177.17,7545.93,321.52
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972076416,165.7949981689453,OC,SB-TE,Santa Cruz/Graciosa Bay/Luova,SCZ,301689.0,AMU,0.0,0.0,59.06,6233.6,321.52
AGGM,medium_airport,Munda Airport,-8.32797,157.263,OC,SB-WE,Munda,MUA,16290.0,AN01,0.0,0.0,32.81,8202.1,114.83
AGGN,small_airport,Nusatupe Airport,-8.09778022766,156.863998413,OC,SB-WE,Gizo,GZO,5504.0,ANG,0.0,0.0,42.65,22965.88,492.13
AGGQ,closed,Ontong Java Atoll Airstrip,-5.515,159.527778,OC,SB-ML,Ontong Java Atoll,OTV,42221.0,AQ-0002,0.0,0.0,32.81,32568.9,360.89
AGGT,small_airport,Santa Ana Airport,-10.847994,162.45410800000002,OC,SB-MK,Santa Ana Island,NNB,35399.0,AR-0005,0.0,0.0,9.84,10764.44,321.52
AGGY,small_airport,Yandina Airport,-9.092816000000001,159.21841,OC,SB-CE,Yandina,XYA,35403.0,AR-0009,0.0,0.0,196.85,12916.67,321.52
AGK,small_airport,Kagua Airport,-6.396388888890001,143.853611111,OC,PG-SHM,Kagua,AGK,35404.0,AR-0010,0.0,0.0,17552.49,10547.9,321.52
AGKG,small_airport,Kaghau Airport,-7.3305,157.585,OC,SB-CH,Kagau Island,KGE,35404.0,AR-0010,0.0,0.0,98.43,9688.32,246.06
AGKU,small_airport,Kukudu Airport,-8.0262,156.94783,OC,SB-WE,Kolombangara Island,KUE,35405.0,AR-0011,0.0,0.0,104.99,12378.61,419.95
AGKW,small_airport,Kwailabesi Airport,-8.360508,160.775127,OC,SB-ML,Kwailabesi,KWS,42799.0,AR-0012,0.0,0.0,170.6,5167.32,216.54
AGNA,small_airport,Nana Airport,-10.6758,162.2049,OC,SB-MK,Star Harbor,NAZ,42801.0,AR-0014,0.0,0.0,196.85,11840.55,216.54
AGOK,small_airport,Gatokae Aerodrome,-8.738358,158.20283600000002,OC,SB-WE,Gatokae,GTA,35412.0,AR-0017,0.0,0.0,229.66,10226.38,321.52
AGTI,heliport,Tulaghi Heliport,-9.107999999999999,160.149166667,OC,SB-CE,Tulaghi Island,TLG,38694.0,AR-0019,0.0,0.0,9.84,8503.94,216.54
AGY,small_airport,Argyle Downs Airport,-16.514,128.9245,OC,AU-WA,Argyle Downs,AGY,38694.0,AR-0019,0.0,0.0,1335.3,7985.56,216.54
AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224000000001,AS,CN-51,Aba,AHJ,38695.0,AR-0020,0.0,0.0,38057.74,216.54,216.54
AHY,small_airport,Ambatolhy Airport,-20.015833333299998,45.535,AF,MG-U,Ambatolahy,AHY,38697.0,AR-0022,0.0,0.0,1115.49,9471.79,321.52
AIE,small_airport,Aiome Airport,-5.145699978000001,144.7307003,OC,PG-MPM,Aiome,AIE,38698.0,AR-0023,0.0,0.0,1148.29,11840.55,429.79
AIH,small_airport,Aiambak Airport,-7.3427777777799985,141.2675,OC,PG-WPD,Aiambak,AIH,38699.0,AR-0024,0.0,0.0,295.28,8612.2,429.79
AIP,small_airport,Ailinglaplap Airok Airport,7.279422,168.8257,OC,MH-ALL,Bigatyelang Island,AIC,38699.0,AR-0024,0.0,0.0,52.49,11236.88,321.52
AKM,small_airport,Zakuoma Airport,10.8902777778,19.8172222222,AF,TD-SA,ZaKouma,AKM,38803.0,AR-0128,0.0,0.0,4494.75,10764.44,321.52
AME,small_airport,Alto Molocue Airport,-15.6102777778,37.681388888899995,AF,MZ-Q,Alto Molocue,AME,38921.0,AR-0246,0.0,0.0,6397.64,12906.82,321.52
AMG,closed,Amboin Airstrip,-4.605642,143.485308,OC,PG-ESW,Amboin,AMG,38923.0,AR-0248,0.0,0.0,285.43,12916.67,429.79
AMU,small_airport,Amanab Airport,-3.5860000000000003,141.21433333299998,OC,PG-SAN,Amanab,AMU,38924.0,AR-0249,0.0,0.0,4288.06,2152.23,160.76
ANH,closed,Anuha Island Resort Airport,-9.00138888889,160.225,OC,SB-CE,Anhua Island,ANH,38929.0,AR-0254,0.0,0.0,72.18,8070.87,213.25
ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,OC,NR-14,Yaren District,INU,38930.0,AR-0255,0.0,0.0,72.18,7536.09,321.52
ANZ,small_airport,Angus Downs Airport,-25.0325,132.2748,OC,AU-NT,Angus Downs Station,ANZ,38930.0,AR-0255,0.0,0.0,5656.17,9881.89,321.52
AO-0001,small_airport,Catoca Airport,-9.430985,20.311478,AF,AO-LSU,Saurimo,CTV,38930.0,AR-0255,0.0,0.0,11476.38,7536.09,321.52
AO-CNZ,small_airport,Cangamba Airport,-13.7106,19.861099,AF,AO-MOX,Cangamba,CNZ,38988.0,AR-0313,0.0,0.0,12775.59,9688.32,246.06
AO-DRC,small_airport,Dirico Airport,-17.981924057006836,20.7680606842041,AF,AO-CCU,Dirico,DRC,38989.0,AR-0314,0.0,0.0,11496.06,9688.32,269.03
AO-GGC,small_airport,Lumbala Airport,-12.6398773193,22.586820602399996,AF,AO-MOX,Lumbala,GGC,38990.0,AR-0315,0.0,0.0,11515.75,10226.38,236.22
AO-JMB,small_airport,Jamba Airport,-14.698192596435547,16.070148468017578,AF,AO-HUA,Jamba,JMB,38991.0,AR-0316,0.0,0.0,16115.49,15068.9,216.54
AO-KNP,small_airport,Capanda Airport,-9.76937007904,15.4553194046,AF,AO-MAL,Capanda,KNP,38991.0,AR-0316,0.0,0.0,11043.31,12916.67,216.54
AO-NDF,small_airport,N'dalatando Airport,-9.280378,14.982432000000001,AF,AO-CNO,N'dalatando,NDF,38992.0,AR-0317,0.0,0.0,8805.77,160.76,160.76
AOA,closed,Aroa Airport,-9.0254,146.8,OC,PG-CPM,Agevairu,AOA,38993.0,AR-0318,0.0,0.0,65.62,10764.44,321.52
AOD,small_airport,Abou-Deïa Airport,11.4773,19.2874,AF,TD-SA,Abou-Deïa,AOD,38995.0,AR-0320,0.0,0.0,5223.1,11217.19,387.14
APR,small_airport,April River Airport,-4.67666666667,142.540138889,OC,PG-ESW,April River,APR,38997.0,AR-0322,0.0,0.0,721.78,9150.26,429.79
AQ-0002,small_airport,Troll Airfield,-71.95714,2.45257,AN,AQ-U-A,Troll Station,QET,38998.0,AR-0323,0.0,0.0,13671.26,8933.73,246.06
AR-0005,small_airport,Bragado Airport,-35.145811,-60.480293999999994,SA,AR-B,Bragado,QRF,39015.0,AR-0340,0.0,0.0,643.04,226.38,193.57
AR-0007,small_airport,Caleta Olivia Airport,-46.37428,-67.59409000000001,SA,AR-Z,Caleta Olivia,CVI,39019.0,AR-0344,0.0,0.0,121.39,8074.15,246.06
AR-0009,small_airport,Charata Airport,-27.2164,-61.2103,SA,AR-H,Charata,CNT,39020.0,AR-0345,0.0,0.0,1043.31,11840.55,321.52
AR-0010,small_airport,General Villegas Airport,-35.0,-63.0,SA,AR-B,General Villegas,VGS,39021.0,AR-0346,1.0,0.0,1256.56,21528.87,321.52
AR-0011,small_airport,Los Menucos Airport,-40.817699,-68.074699,SA,AR-R,Los Menucos,LMD,39022.0,AR-0347,0.0,0.0,8435.04,236.22,160.76
AR-0015,closed,Saenz Peña Airport,-26.81579971313477,-60.44829940795898,SA,AR-H,Presidencia Roque Sáenz Peña,SZQ,39026.0,AR-0351,0.0,0.0,65.62,321.52,321.52
AR-0017,small_airport,Valcheta Airport,-40.7000007629,-66.1500015259,SA,AR-R,Valcheta,VCF,39028.0,AR-0353,0.0,0.0,2063.65,216.54,216.54
AR-0346,small_airport,Sunchales Aeroclub Airport,-30.9575,-61.5283,SA,AR-S,Sunchales,NCJ,311508.0,AYHN,0.0,0.0,980.97,6456.69,321.52
AR-0390,small_airport,Carmen de Patagones Airport,-40.7781,-62.9803,SA,AR-B,Carmen de Patagones,CPG,311909.0,AYOJ,0.0,0.0,429.79,7267.06,321.52
AR-0462,small_airport,Termal Airport,-26.753611,-60.492222,SA,AR-H,Presidencia Roque Sáenz Peña,PRQ,312126.0,AYZQ,0.0,0.0,1010.5,6459.97,321.52
AR-0494,small_airport,Colonia Sarmiento Airport,-45.582371,-68.999841,SA,AR-U,Sarmiento,OLN,16414.0,AZ26,0.0,0.0,2877.3,7874.02,164.04
ATN,small_airport,Namatanai Airport,-3.6695,152.438,OC,PG-NIK,Namatanai,ATN,334147.0,BR-0647,0.0,0.0,492.13,6459.97,193.57
ATP,small_airport,Aitape Airport,-3.14361111111,142.346805556,OC,PG-SAN,Aitape,ATP,334194.0,BR-0657,0.0,0.0,32.81,6998.03,321.52
AU-0081,small_airport,Lady Elliot Island Airstrip,-24.1129,152.7156,OC,AU-QLD,Lady Elliot Island,LYT,343154.0,BR-1497,0.0,0.0,65.62,10764.44,193.57
AU-BYX,small_airport,Baniyala Airport,-13.19810009,136.227005005,OC,AU-NT,Baniyala,BYX,40058.0,CA-0412,0.0,0.0,65.62,20997.38,492.13
AU-OKB,small_airport,Orchid Beach Airport,-24.959400177002,153.31500244141,OC,AU-QLD,Orchid Beach,OKB,299272.0,CA-0497,0.0,0.0,232.94,9835.96,492.13
AU-PEP,small_airport,Peppimenarti Airport,-14.144200325,130.09100341799999,OC,AU-NT,Peppimenarti,PEP,299272.0,CA-0497,0.0,0.0,272.31,10091.86,492.13
AU-TPR,small_airport,Tom Price Airport,-22.746000289900003,117.869003296,OC,AU-WA,Tom Price,TPR,309767.0,CA-0524,0.0,0.0,7545.93,3280.84,164.04
AUI,small_airport,Aua Island Airport,-1.46055555556,143.064722222,OC,PG-MRL,Aua Island,AUI,312632.0,CA-0536,0.0,0.0,13.12,5528.22,164.04
AUJ,small_airport,Ambunti Airport,-4.21566666667,142.823166667,OC,PG-ESW,Ambunti,AUJ,312802.0,CA-0537,0.0,0.0,164.04,5905.51,164.04
AUV,small_airport,Aumo Airport,-5.731111111110001,148.445277778,OC,PG-WBK,Aumo,AUV,320235.0,CA-0601,0.0,1.0,1476.38,6922.57,82.02
AWE,small_airport,Alowe Airport,-0.545,9.443999999999999,AF,GA-3,Wonga Wongué Presidential Reserve,AWE,323246.0,CA-0684,0.0,0.0,1968.5,6561.68,164.04
AWR,closed,Awar Airport,-4.124,144.85299999999998,OC,PG-MPM,Awar,AWR,323246.0,CA-0684,0.0,0.0,114.83,6889.76,164.04
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858000000001,AS,CN-15,Bayanhot,AXF,46513.0,CA-0772,0.0,0.0,14960.63,10623.36,246.06
AYBK,medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,OC,PG-NSB,Buka Island,BUA,16534.0,CA03,0.0,0.0,36.09,9842.52,98.43
AYBR,small_airport,Biaru Airport,-7.6693,146.7594,OC,PG-MPL,Biaru,BRP,16535.0,CA04,0.0,0.0,16076.12,8530.18,492.13
AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,OC,PG-CPK,Kundiawa,CMU,16541.0,CA10,0.0,0.0,16318.9,9842.52,328.08
AYDK,small_airport,Munduku Airport,-4.6204,143.4516,OC,PG-ESW,Munduku,MDM,16543.0,CA12,0.0,0.0,328.08,229.66,229.66
AYDL,small_airport,Kondobol Airport,-8.5336,142.5049,OC,PG-WPD,Kondobol,KPF,16544.0,CA13,0.0,0.0,433.07,6561.68,246.06
AYDN,small_airport,Dinangat Airport,-6.1546,146.6772,OC,PG-MPL,Dinangat,DNU,16545.0,CA14,0.0,0.0,17417.98,164.04,164.04
AYDO,small_airport,Doini Airport,-10.7009,150.7218,OC,PG-MBA,Castori Islets,DOI,16546.0,CA15,1.0,0.0,101.71,144.36,144.36
AYDU,medium_airport,Daru Airport,-9.086759567260001,143.207992554,OC,PG-WPD,Daru,DAU,16550.0,CA19,0.0,0.0,65.62,7381.89,98.43
AYEB,small_airport,Embessa Airport,-9.447000000000001,148.7628,OC,PG-NPP,Embessa,EMS,16553.0,CA22,0.0,0.0,429.79,6561.68,98.43
AYED,small_airport,Edwaki Airport,-3.883986,141.792234,OC,PG-SAN,Yellow River Mission,XYR,16554.0,CA23,0.0,0.0,623.36,177.17,177.17
AYEL,small_airport,Eliptamin Airport,-5.0412,141.6779,OC,PG-SAN,Eliptamin,EPT,16557.0,CA26,0.0,0.0,15830.05,328.08,196.85
AYEN,small_airport,Engati Airstrip,-6.9179,146.1053,OC,PG-MPL,Engati,EGA,16559.0,CA28,1.0,0.0,12188.32,150.92,150.92
AYEO,small_airport,Emo River Airstrip,-9.1234,148.0415,OC,PG-NPP,Emo Mission,EMO,16560.0,CA29,0.0,0.0,7349.08,118.11,118.11
AYER,small_airport,Erume Airport,-8.2538,146.9747,OC,PG-CPM,Erume,ERU,16561.0,CA30,0.0,0.0,21948.82,492.13,492.13
AYES,small_airport,Meselia Airport,-6.1364,149.1183,OC,PG-WBK,Demgulu,MFZ,16562.0,CA31,0.0,0.0,590.55,82.02,82.02
AYFE,small_airport,Feramin Airport,-5.207999999999999,141.6988,OC,PG-SAN,Feramin,FRQ,16565.0,CA34,0.0,0.0,15272.31,984.25,328.08
AYFR,small_airport,Frieda River Airport,-4.610468,141.960138,OC,PG-ESW,Frieda River,FAQ,16568.0,CA37,0.0,0.0,711.94,262.47,262.47
AYFU,small_airport,Fuma Airport,-6.3933,142.4408,OC,PG-WPD,Fuma,FUM,16570.0,CA39,0.0,0.0,1528.87,8202.1,229.66
AYGA,medium_airport,Goroka Airport,-6.0816898345900015,145.391998291,OC,PG-EHG,Goronka,GKA,16571.0,CA40,0.0,0.0,17329.4,8530.18,492.13
AYGF,small_airport,Guari Airport,-8.1286,146.8722,OC,PG-CPM,Guari,GUG,16574.0,CA43,1.0,0.0,21161.42,137.8,137.8
AYGG,small_airport,Garasa Airport,-7.980713000000001,147.21346100000002,OC,PG-MPL,Au,GRL,16575.0,CA44,0.0,0.0,8330.05,9186.35,328.08
AYGN,medium_airport,Gurney Airport,-10.311499595599999,150.333999634,OC,PG-MBA,Gurney,GUR,16578.0,CA47,0.0,0.0,288.71,203.41,203.41
AYGP,small_airport,Gusap Airport,-6.053196,145.959047,OC,PG-GPK,Gusap,GAP,16580.0,CA49,0.0,0.0,4934.38,6233.6,164.04
AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,OC,PG-NPP,Popondetta,PNP,16582.0,CA51,0.0,0.0,1020.34,8530.18,131.23
AYGS,small_airport,Gasuke Airport,-6.1028,141.7393,OC,PG-WPD,Gasuke,GBC,16583.0,CA52,0.0,0.0,515.09,65.62,65.62
AYHB,small_airport,Habi Airport,-6.32,142.4893,OC,PG-WPD,Habi,HBD,16587.0,CA56,0.0,0.0,3257.87,164.04,164.04
AYHE,small_airport,Heiweni Airport,-7.4223,146.4276,OC,PG-MPL,Heiweni,HNI,16588.0,CA57,0.0,0.0,11417.32,5249.34,246.06
AYHH,small_airport,Honinabi Airport,-16.2457,142.1771,OC,PG-WPD,Honinabi,HNN,16589.0,CA58,0.0,0.0,1482.94,236.22,236.22
AYHK,medium_airport,Kimbe Airport,-5.462170124053955,150.40499877929688,OC,PG-WBK,Hoskins,HKN,16591.0,CA60,0.0,0.0,216.54,9842.52,1312.34
AYHO,small_airport,Haivaro Airport,-6.9406,143.059,OC,PG-GPK,Haivaro,HIT,16594.0,CA63,1.0,0.0,590.55,137.8,137.8
AYII,small_airport,Imane Airport,-6.7524,146.1072,OC,PG-MPL,Imane,IMN,16601.0,CA70,0.0,0.0,12664.04,17388.45,295.28
AYIM,small_airport,Kungim Airport,-5.671,141.03,OC,PG-WPD,Kungim,KGM,16601.0,CA70,0.0,0.0,1145.01,12467.19,262.47
AYIO,small_airport,Imonda Airport,-3.3280000000000003,141.1573,OC,PG-SAN,Imonda,IMD,16603.0,CA72,0.0,0.0,3248.03,314.96,252.62
AYIQ,small_airport,Aropa Airport,-6.305416999999999,155.728139,OC,PG-NSB,Kieta,KIE,16605.0,CA74,0.0,0.0,65.62,157.48,157.48
AYIU,small_airport,Ialibu Airport,-6.2782,143.9944,OC,PG-SHM,Ialibu,IAL,16609.0,CA78,0.0,0.0,22099.74,282.15,282.15
AYIX,small_airport,Witu Airport,-4.689522,149.440112,OC,PG-WBK,Garove Island,WIU,16610.0,CA79,0.0,0.0,82.02,65.62,65.62
AYJO,small_airport,Yongai Airport,-8.5289,147.4603,OC,PG-CPM,Yongai,KGH,16612.0,CA81,0.0,0.0,21325.46,164.04,164.04
AYKA,small_airport,Losuia Airport,-8.505820274353027,151.08099365234375,OC,PG-MBA,Losuia,LSA,16613.0,CA82,0.0,0.0,88.58,246.06,246.06
AYKG,small_airport,Kopiago Airport,-5.3883,142.4977,OC,PG-HE,Kopiago,KPA,16614.0,CA83,0.0,0.0,14583.33,196.85,262.47
AYKI,small_airport,Kiunga Airport,-6.1257100105285645,141.28199768066406,OC,PG-WPD,Kiunga,UNG,16615.0,CA84,0.0,0.0,288.71,4921.26,98.43
AYKJ,small_airport,Kanainj Airport,-5.2903,144.7072,OC,PG-MPM,Kanainj,KNE,16616.0,CA85,1.0,0.0,13333.33,164.04,164.04
AYKK,small_airport,Kikori Airport,-7.424379825592041,144.2500762939453,OC,PG-GPK,Kikori,KRI,16617.0,CA86,0.0,0.0,164.04,98.43,98.43
AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,OC,PG-GPK,Kerema,KMA,16619.0,CA88,0.0,0.0,32.81,6561.68,147.64
AYKR,small_airport,Kar Kar Airport,-4.5569999999999995,145.9404,OC,PG-MPM,Kar Kar Island,KRX,16620.0,CA89,0.0,0.0,426.51,9186.35,328.08
AYKU,small_airport,Kuri Airport,-7.135083,143.27611100000001,OC,PG-GPK,Kuri,KUQ,16620.0,CA89,0.0,0.0,114.83,9186.35,328.08
AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,OC,PG-NIK,Kavieng,KVG,16621.0,CA90,0.0,0.0,22.97,17322.84,160.76
AYKY,small_airport,Londolovit Airport,-3.04361009598,152.628997803,OC,PG-NIK,Londolovit,LNV,16622.0,CA91,0.0,0.0,547.9,242.78,131.23
AYLB,small_airport,Lab Lab Airport,-5.7204,148.0566,OC,PG-MPL,Lab Lab Mission,LAB,16625.0,CA95,0.0,0.0,524.93,164.04,164.04
AYLO,small_airport,Lowai Airport,-6.3344,146.6458,OC,PG-MPL,Lowai,LWI,16629.0,CA99,0.0,0.0,9514.44,164.04,164.04
AYLP,small_airport,Leron Plains Airport,-6.3917,146.3434,OC,PG-MPL,Leron Plains,LPN,306929.0,CAA2,0.0,0.0,2230.97,9416.01,246.06
AYLS,small_airport,Lese Airport,-8.2799,146.2765,OC,PG-GPK,Lese,LNG,614.0,CAD4,0.0,0.0,131.23,13123.36,246.06
AYLX,small_airport,Long Island Airport,-5.3604,147.0177,OC,PG-MPM,Long Island,LSJ,615.0,CAD5,0.0,0.0,380.58,13123.36,239.5
AYM,seaplane_base,Yas Island Seaplane Base,24.467,54.6103,AS,AE-AZ,Abu Dhabi,AYM,618.0,CAF4,0.0,0.0,0.0,13123.36,328.08
AYMA,small_airport,Manari Airport,-9.1908,147.6219,OC,PG-NPP,Manari,MRM,619.0,CAG3,0.0,0.0,8628.61,10498.69,164.04
AYMB,small_airport,Morobe Airport,-7.74,147.59,OC,PG-MPL,Morobe,OBM,620.0,CAH3,0.0,0.0,26.25,5905.51,196.85
AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,OC,PG-MPM,Madang,MAG,621.0,CAH4,0.0,0.0,65.62,12959.32,246.06
AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,OC,PG-WHM,Mount Hagen,HGU,622.0,CAJ2,0.0,0.0,17677.17,8202.1,196.85
AYML,small_airport,Mougulu Airport,-6.2808589999999995,142.420775,OC,PG-WPD,Mougulu,GUV,624.0,CAJ4,0.0,1.0,2706.69,8982.94,328.08
AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,OC,PG-SHM,Mendi,MDU,624.0,CAJ4,0.0,0.0,18635.17,12893.7,246.06
AYMO,medium_airport,Momote Airport,-2.06189,147.423996,OC,PG-MRL,Manus Island,MAS,625.0,CAJ7,0.0,0.0,39.37,14763.78,164.04
AYMR,small_airport,Moro Airport,-6.36332988739,143.238006592,OC,PG-SHM,Moro,MXH,626.0,CAJ9,0.0,0.0,8989.5,15419.95,98.43
AYMS,small_airport,Misima Island Airport,-10.6892004013,152.837997437,OC,PG-MBA,Misima Island,MIS,627.0,CAK3,0.0,0.0,85.3,8530.18,246.06
AYMW,small_airport,Marawaka Airport,-6.9736,145.8849,OC,PG-EHG,Marawaka,MWG,629.0,CAL3,0.0,0.0,19849.08,15091.86,131.23
AYNA,small_airport,Nankina Airport,-5.837000000000001,146.4533,OC,PG-MPM,Gwarawon,NKN,631.0,CAM3,1.0,0.0,19028.87,4986.88,98.43
AYNE,small_airport,Negarbo(Negabo) Airport,-6.567778,144.703058,OC,PG-CPK,Negarbo,GBF,46598.0,CAM4,0.0,0.0,14763.78,8202.1,196.85
AYNG,small_airport,Manguna Airport,-5.5777779999999995,151.792333,OC,PG-EBR,Manguna,MFO,632.0,CAM5,0.0,0.0,613.52,12795.28,216.54
AYNM,small_airport,Kasonombe Airport,-6.3819,146.9859,OC,PG-MPL,Kasonombe,KSB,634.0,CAP3,0.0,0.0,19028.87,7874.02,246.06
AYNO,small_airport,Nomane Airport,-6.32183,145.070667,OC,PG-CPK,Namane,NMN,635.0,CAP6,0.0,0.0,19790.03,19685.04,328.08
AYNY,small_airport,Nambaiyufa Airport,-6.2412,145.2424,OC,PG-CPK,Nambaiyufa,NBA,637.0,CAQ5,0.0,0.0,18208.66,9842.52,246.06
AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,OC,PG-MPL,Lae,LAE,638.0,CAR2,0.0,0.0,784.12,8858.27,246.06
AYOE,small_airport,Konge Airport,-6.2239,147.2152,OC,PG-MPL,Konge,KGB,640.0,CAS2,0.0,0.0,19356.96,9022.31,131.23
AYOJ,small_airport,Oksapmin Airport,-5.2261,142.2259,OC,PG-SAN,Oksapmin,OKP,642.0,CAT1,0.0,0.0,16863.52,6561.68,229.66
AYOK,small_airport,Komako Airport,-7.3984,145.8827,OC,PG-GPK,Komako,HOC,643.0,CAT4,1.0,0.0,12992.13,11696.19,246.06
AYOQ,small_airport,Komaio Airport,-7.2714,143.5952,OC,PG-GPK,Komaio,KCJ,644.0,CAT5,0.0,0.0,91.86,7874.02,118.11
AYOW,small_airport,Koroba Airport,-5.6952,142.7441,OC,PG-HE,Koroba,KDE,647.0,CAU4,0.0,0.0,18497.38,17060.37,590.55
AYOY,small_airport,Open Bay Airport,-4.794727,151.696195,OC,PG-WBK,Maitanakunai,OPB,647.0,CAU4,0.0,0.0,108.27,10498.69,590.55
AYPC,small_airport,Pangoa Airport,-7.0226,141.5605,OC,PG-WPD,Pangoa,PGB,45222.0,CAV6,0.0,0.0,196.85,5905.51,196.85
AYPG,small_airport,Pangia Airport,-6.386,144.1084,OC,PG-SHM,Pangia,PGN,652.0,CAW3,0.0,0.0,17519.69,11482.94,196.85
AYPO,small_airport,Mapoda Airport,-7.979,143.1694,OC,PG-WPD,Mapoda,MPF,655.0,CAY2,0.0,0.0,147.64,5905.51,196.85
AYPQ,small_airport,Pumani Airport,-9.7469,149.4766,OC,PG-MBA,Pumani,PMN,311583.0,CAY5,0.0,0.0,1400.92,8933.73,295.28
AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,OC,PG-NCD,Port Moresby,POM,659.0,CBA9,0.0,0.0,479.0,18372.7,196.85
AYQO,small_airport,Sopu Airport,-8.3038,147.1659,OC,PG-CPM,Sopu,SPH,664.0,CBBC,0.0,0.0,21587.93,12139.11,246.06
