ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_region,municipality,iata_code
UIBS,small_airport,Ust-Ilimsk Airport,58.13610076904297,102.56500244140624,1339.0,AS,RU-IRK,Ust-Ilimsk,UIK
UIII,medium_airport,Irkutsk International Airport,52.268002,104.389,1675.0,EU,RU-IRK,Irkutsk,IKT
UIKB,small_airport,Bodaybo Airport,57.8661003113,114.24299621600001,919.0,AS,RU-IRK,Bodaybo,ODO
UIKE,small_airport,Yerbogachen Airport,61.2750015259,108.029998779,400.0,AS,RU-IRK,Erbogachen,ERG
UIKK,small_airport,Kirensk Airport,57.773,108.064,840.0,AS,RU-IRK,Kirensk,KCK
UIKP,small_airport,Preobrazheniye Airport,42.921698,133.904438,34.0,EU,RU-PRI,Preobrazheniye,RZH
UITT,medium_airport,Ust-Kut Airport,56.8567008972168,105.7300033569336,2188.0,AS,RU-IRK,Ust-Kut,UKX
UIUU,medium_airport,Baikal International Airport,51.808614,107.439652,1690.0,EU,RU-BU,Ulan Ude,UUD
UJAP,small_airport,Ujae Atoll Airport,8.92805957794,165.761993408,29.0,OC,MH-UJA,Ujae Atoll,UJE
UJN,small_airport,Uljin Airport,36.777049,129.461861,191.0,AS,KR-47,"Bongsan-ri, Uljin",UJN
UKBB,large_airport,Boryspil International Airport,50.34500122070313,30.89469909667969,427.0,EU,UA-32,Kiev,KBP
UKCC,closed,Donetsk Sergei Prokofiev International Airport,48.075072,37.72527,791.0,EU,UA-14,Donetsk,DOK
UKCK,small_airport,Kramatorsk Airport,48.706799,37.630922,646.0,EU,UA-14,Kramatorsk,KRQ
UKCM,medium_airport,Mariupol International Airport,47.07609939575195,37.44960021972656,251.0,EU,UA-14,Mariupol,MPW
UKCS,small_airport,Sievierodonetsk Airport,48.900926,38.542790000000004,236.0,EU,UA-09,Sievierodonetsk,SEV
UKCW,medium_airport,Luhansk International Airport,48.417400360100004,39.3740997314,636.0,EU,UA-09,Luhansk,VSG
UKDB,closed,Berdyansk Airport,46.814999,36.758099,171.0,EU,UA-23,Berdyansk,ERD
UKDD,medium_airport,Dnipropetrovsk International Airport,48.357200622558594,35.100601196289055,481.0,EU,UA-12,Dnipropetrovsk,DNK
UKDE,medium_airport,Zaporizhzhia International Airport,47.86700057983398,35.31570053100586,373.0,EU,UA-23,Zaporizhia,OZH
UKDR,medium_airport,Kryvyi Rih International Airport,48.04330062866211,33.209999084472656,408.0,EU,UA-12,Kryvyi Rih,KWG
UKFB,medium_airport,Sevastopol International Airport / Belbek Air Base,44.691821999999995,33.57462,344.0,EU,UA-40,Sevastopol,UKS
UKFF,medium_airport,Simferopol International Airport,45.0522,33.975101,639.0,EU,RU-U-A,Simferopol,SIP
UKFK,small_airport,Kerch Airport,45.37250137329102,36.40140151977539,171.0,EU,UA-43,Kerch,KHC
UKH,small_airport,Mukhaizna Airport,19.3863888889,56.4013888889,473.0,AS,OM-WU,Mukhaizna Oil Field,UKH
UKHH,medium_airport,Kharkiv International Airport,49.924801,36.290001000000004,508.0,EU,UA-63,Kharkiv,HRK
UKHP,small_airport,Suprunovka Airport,49.56859970092773,34.397201538085945,505.0,EU,UA-53,Poltava,PLV
UKHS,small_airport,Sumy Airport,50.858299255371094,34.762500762939446,594.0,EU,UA-59,Sumy,UMY
UKKE,medium_airport,Cherkasy International Airport,49.41559982299805,31.99530029296875,375.0,EU,UA-71,Cherkasy,CKC
UKKG,small_airport,Kirovograd Airport,48.54280090332031,32.28499984741211,568.0,EU,UA-35,Kirovograd,KGO
UKKK,medium_airport,Kiev Zhuliany International Airport,50.40194,30.451940000000004,587.0,EU,UA-32,Kiev,IEV
UKKM,medium_airport,Gostomel Airport,50.60350036621094,30.1919002532959,517.0,EU,UA-32,Kiev,GML
UKLC,small_airport,Lutsk Airport,50.678404,25.487165,774.0,EU,UA-07,Lutsk,UCK
UKLH,medium_airport,Khmelnytskyi Airport,49.359699,26.933398999999998,1150.0,EU,UA-68,Khmelnytskyi,HMJ
UKLI,medium_airport,Ivano-Frankivsk International Airport,48.88420104980469,24.68610000610352,919.0,EU,UA-26,Ivano-Frankivsk,IFO
UKLL,large_airport,Lviv International Airport,49.8125,23.9561,1071.0,EU,UA-46,Lviv,LWO
UKLN,medium_airport,Chernivtsi International Airport,48.2593002319336,25.98080062866211,826.0,EU,UA-77,Chernivtsi,CWC
UKLR,medium_airport,Rivne International Airport,50.60710144042969,26.14159965515137,755.0,EU,UA-19,Rivne,RWN
UKLU,medium_airport,Uzhhorod International Airport,48.6343002319336,22.263399124145508,383.0,EU,UA-21,Uzhhorod,UDJ
UKOH,medium_airport,Kherson International Airport,46.6758,32.506401000000004,148.0,EU,UA-65,Kherson,KHE
UKON,medium_airport,Mykolaiv International Airport,47.057899,31.9198,184.0,EU,UA-48,Nikolayev,NLV
UKOO,medium_airport,Odessa International Airport,46.4268,30.6765,172.0,EU,UA-51,Odessa,ODS
UKRR,closed,Chernihiv Shestovytsia Airport,51.402198999999996,31.1583,446.0,EU,UA-74,Chernihiv,CEJ
UKWW,small_airport,Vinnytsia/Gavyryshivka Airport,49.242531,28.613778000000003,961.0,EU,UA-05,Vinnitsa,VIN
ULAA,medium_airport,Talagi Airport,64.60030364990234,40.71670150756836,62.0,EU,RU-ARK,Archangelsk,ARH
ULAL,small_airport,Leshukonskoye Airport,64.89600372310001,45.7229995728,220.0,EU,RU-ARK,Leshukonskoye,LDG
ULAM,medium_airport,Naryan Mar Airport,67.63999938964844,53.12189865112305,36.0,EU,RU-NEN,Naryan Mar,NNM
ULAS,small_airport,Solovki Airport,65.0299987793,35.7333335876,60.0,EU,RU-ARK,Solovetsky Islands,CSH
ULBC,medium_airport,Cherepovets Airport,59.273601532,38.015800476100004,377.0,EU,RU-VLG,Cherepovets,CEE
ULDD,medium_airport,Amderma Airport,69.76329803466797,61.55640029907226,13.0,AS,RU-NEN,Amderma,AMV
ULDW,small_airport,Varandey Airport,68.84850300000001,58.201401000000004,39.0,EU,RU-NEN,Varandey,VRI
